City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Hambantota,LK,2021-01-27 21:53:04,6.1241,81.1185,74.17,77,29,13.18
170,Vanavara,RU,2021-01-27 21:51:38,60.34,102.2797,-17.48,84,100,12.48
171,Lucapa,AO,2021-01-27 21:53:04,-8.4192,20.7447,66.43,92,100,2.01
172,Iskateley,RU,2021-01-27 21:53:05,67.6803,53.1512,-4.38,92,100,17.87
173,Asau,RO,2021-01-27 21:53:05,46.4333,26.4,32.0,46,100,5.66
174,Hualmay,PE,2021-01-27 21:53:05,-11.0964,-77.6139,74.89,70,84,9.17
175,Baruun-Urt,MN,2021-01-27 21:53:06,46.6806,113.2792,-21.87,81,4,9.1
176,Warrington,GB,2021-01-27 21:53:07,53.3925,-2.5802,46.99,100,90,10.36
177,Tokmak,UA,2021-01-27 21:53:07,47.2514,35.7058,45.34,74,100,19.33
178,Liverpool,GB,2021-01-27 21:53:07,53.4106,-2.9779,46.0,100,90,10.36
179,Birao,CF,2021-01-27 21:53:07,10.2849,22.7882,75.67,19,36,5.59
180,Lishu,CN,2021-01-27 21:53:07,43.3047,124.3278,-1.17,89,86,9.31
181,Kavaratti,IN,2021-01-27 21:53:08,10.5669,72.642,80.55,67,64,10.4
182,Madang,PG,2021-01-27 21:53:08,-5.2246,145.7966,75.83,94,100,4.5
183,Lorengau,PG,2021-01-27 21:53:08,-2.0226,147.2712,83.37,79,85,10.63
184,Marsa Matruh,EG,2021-01-27 21:53:08,31.3525,27.2453,53.6,50,40,11.5
185,Bambanglipuro,ID,2021-01-27 21:53:09,-7.95,110.2833,74.82,90,98,6.04
186,Yellowknife,CA,2021-01-27 21:48:28,62.456,-114.3525,-9.0,77,90,2.3
187,Hithadhoo,MV,2021-01-27 21:53:09,-0.6,73.0833,80.94,79,97,15.23
188,Longyearbyen,SJ,2021-01-27 21:53:09,78.2186,15.6401,6.8,66,20,16.11
189,Praia Da Vitoria,PT,2021-01-27 21:53:07,38.7333,-27.0667,59.0,100,20,24.94
190,Assis,BR,2021-01-27 21:53:09,-22.6617,-50.4122,74.21,88,100,3.71
191,Meulaboh,ID,2021-01-27 21:53:11,4.1363,96.1285,75.49,85,100,5.35
192,Flinders,AU,2021-01-27 21:53:11,-34.5833,150.8552,70.0,76,89,5.01
193,Camalu,MX,2021-01-27 21:53:11,30.85,-116.0667,60.01,40,58,5.99
194,Sao Filipe,CV,2021-01-27 21:53:12,14.8961,-24.4956,74.07,68,0,5.17
195,Alekseyevsk,RU,2021-01-27 21:53:12,57.8406,108.3492,-32.98,80,100,2.71
196,West Des Moines,US,2021-01-27 21:51:50,41.572,-93.7453,24.8,54,20,8.05
197,Sao Felix Do Xingu,BR,2021-01-27 21:53:12,-6.6447,-51.995,75.85,90,77,2.13
198,Jasper,US,2021-01-27 21:53:13,37.2001,-94.3502,30.99,74,90,10.36
199,Severnoye,RU,2021-01-27 21:53:13,56.3491,78.3619,1.87,93,69,2.98
200,San Ramon,US,2021-01-27 21:53:13,37.7799,-121.978,54.0,71,75,6.91
201,Bogale,MM,2021-01-27 21:53:13,16.2833,95.4,70.43,72,55,6.8
202,Sisimiut,GL,2021-01-27 21:53:14,66.9395,-53.6735,8.02,78,0,10.92
203,Vorobyevka,RU,2021-01-27 21:53:14,50.6451,40.9245,33.48,93,100,16.22
204,Linxia,CN,2021-01-27 21:53:14,35.6003,103.2064,18.19,86,89,1.16
205,Lengshuijiang,CN,2021-01-27 21:53:14,27.6881,111.4294,40.33,81,16,1.97
206,Aquiraz,BR,2021-01-27 21:48:29,-3.9014,-38.3911,82.4,78,20,9.22
207,Avarua,CK,2021-01-27 21:53:15,-21.2078,-159.775,87.8,62,20,19.57
208,Broken Hill,AU,2021-01-27 21:53:15,-31.95,141.4333,71.6,40,88,6.91
