City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Namibe,AO,-15.1961,12.1522,72.97,75,95,5.7,overcast clouds
168,Guerrero Negro,MX,27.9769,-114.0611,60.48,66,89,16.84,overcast clouds
169,Hofn,IS,64.2539,-15.2082,21.67,83,0,18.61,clear sky
170,Codrington,AU,-38.2667,141.9667,65.07,57,0,8.46,clear sky
171,Amapa,BR,1.0,-52.0,72.21,98,56,1.99,broken clouds
172,Raudeberg,NO,61.9875,5.1352,32.0,93,100,8.63,light snow
173,Bay Roberts,CA,47.5999,-53.2648,28.99,90,100,7.31,overcast clouds
174,Dawson Creek,CA,55.7666,-120.2362,5.0,66,1,4.61,clear sky
175,Tilichiki,RU,60.4667,166.1,-11.07,91,95,16.31,overcast clouds
176,Lagunas,PE,-5.2269,-75.6753,77.25,78,87,1.57,overcast clouds
177,Kattivakkam,IN,13.2167,80.3167,71.6,94,20,5.37,mist
178,Chuy,UY,-33.6971,-53.4616,71.51,88,100,12.12,moderate rain
179,Abnub,EG,27.2696,31.1511,46.4,61,0,4.61,clear sky
180,Hakkari,TR,37.5833,44.1667,12.92,90,72,4.38,broken clouds
181,Sioux Lookout,CA,50.1001,-91.917,23.0,86,90,6.91,light snow
182,Egvekinot,RU,66.3167,-179.1667,-21.41,84,100,10.69,overcast clouds
183,Provideniya,RU,64.3833,-173.3,-10.1,83,98,13.87,overcast clouds
184,Port Hardy,CA,50.6996,-127.4199,46.4,81,90,23.02,overcast clouds
185,Nueve De Julio,AR,-35.4444,-60.8831,62.01,77,91,4.0,overcast clouds
186,Kodinsk,RU,58.6881,99.1844,-42.11,78,44,2.17,scattered clouds
187,Tambovka,RU,50.0969,128.0489,-32.8,68,20,2.24,few clouds
188,North Battleford,CA,52.7834,-108.2847,1.4,85,75,0.49,broken clouds
189,Pulawy,PL,51.4166,21.9694,28.0,10,100,9.28,overcast clouds
190,Bathsheba,BB,13.2167,-59.5167,78.8,73,40,17.27,scattered clouds
191,Bystrogorskiy,RU,48.2081,41.141,34.83,91,90,13.2,overcast clouds
192,Asau,RO,46.4333,26.4,37.0,80,90,13.8,overcast clouds
193,Shache,CN,38.4167,77.2406,19.18,90,57,0.4,broken clouds
194,East London,ZA,-33.0153,27.9116,69.93,85,70,3.36,broken clouds
195,Katangli,RU,51.7102,143.2326,-1.88,88,100,12.77,overcast clouds
196,Pisco,PE,-13.7,-76.2167,73.4,68,0,17.27,clear sky
197,Mercedes,AR,-34.6515,-59.4307,61.0,89,100,1.99,overcast clouds
198,La Macarena,CO,2.1837,-73.7849,77.05,63,35,2.13,scattered clouds
199,Suwannaphum,TH,15.6035,103.8021,70.0,88,0,3.44,clear sky
200,Miri,MY,4.4148,114.0089,78.8,94,40,3.44,scattered clouds
201,Vostok,RU,46.4856,135.8833,-12.66,85,5,4.18,clear sky
202,Igarka,RU,67.4667,86.5833,-33.88,78,0,8.63,clear sky
203,Hasaki,JP,35.7333,140.8333,43.0,42,20,11.5,few clouds
204,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,82,0,26.98,clear sky
205,Akonolinga,CM,3.7667,12.25,68.02,96,100,2.3,overcast clouds
206,Luanda,AO,-8.8368,13.2343,78.8,83,75,4.61,broken clouds
207,Mayo,US,38.8876,-76.5119,30.99,59,1,3.44,clear sky
208,Ngaoundere,CM,7.3167,13.5833,64.87,28,0,4.25,clear sky
209,Greenfield,US,42.9614,-88.0126,32.0,80,90,11.5,light snow
210,South Bend,US,41.6834,-86.25,32.0,69,90,17.27,light snow
211,Catuday,PH,16.2923,119.8062,73.44,66,100,14.9,overcast clouds
212,Ust-Nera,RU,64.5667,143.2,-25.51,76,92,7.78,overcast clouds
213,Belaya Gora,RU,68.5333,146.4167,-27.9,85,100,2.53,overcast clouds
214,Marzuq,YE,14.4,46.4667,57.74,54,0,2.66,clear sky
215,Mingshui,CN,36.7167,117.5,48.0,42,0,1.01,clear sky
216,Half Moon Bay,US,37.4636,-122.4286,57.2,76,90,5.75,overcast clouds
217,Mazatlan,MX,23.2167,-106.4167,77.0,50,20,12.66,few clouds
218,Bilibino,RU,68.0546,166.4372,-26.52,79,0,5.53,clear sky
219,Faya,SA,18.3851,42.4509,55.4,62,0,5.75,clear sky
220,Anadyr,RU,64.75,177.4833,-4.0,71,20,26.84,snow
221,Voh,NC,-20.9667,164.7,84.99,51,6,6.26,clear sky
222,Russell,US,32.3502,-85.1999,53.6,62,40,5.75,scattered clouds
223,Colares,PT,38.7992,-9.4469,59.0,82,99,15.99,overcast clouds
224,Vetluga,RU,57.8557,45.781,19.87,97,100,8.9,overcast clouds
225,Iqaluit,CA,63.7506,-68.5145,-9.0,77,1,19.57,snow
226,Solnechnyy,RU,50.7214,136.6319,-10.39,85,48,4.23,scattered clouds
227,Sonkovo,RU,57.7782,37.1571,15.39,97,98,9.73,overcast clouds
228,Pfullendorf,DE,47.9167,9.25,42.01,96,100,8.99,overcast clouds
229,Matara,LK,5.9485,80.5353,76.28,85,93,3.67,overcast clouds
230,Maragogi,BR,-9.0122,-35.2225,78.04,82,100,8.3,overcast clouds
231,Margate,GB,51.3813,1.3862,39.0,75,1,3.0,clear sky
232,Sabang,ID,5.8933,95.3214,80.8,78,62,20.67,broken clouds
233,Kathu,TH,7.9178,98.3332,84.0,78,20,5.75,few clouds
234,Bad Windsheim,DE,49.5,10.4167,30.2,100,90,8.05,light snow
235,Dallas,US,32.7668,-96.7836,69.8,14,40,10.36,scattered clouds
236,Riberalta,BO,-10.9833,-66.1,76.19,89,100,1.97,overcast clouds
237,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,90,11.5,overcast clouds
238,Kangshan,CN,28.8812,116.4311,52.21,67,99,2.66,overcast clouds
239,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.97,78,1,21.68,clear sky
240,Maceio,BR,-9.6658,-35.7353,75.2,94,75,2.3,broken clouds
241,Luderitz,NA,-26.6481,15.1594,65.39,63,0,18.03,clear sky
242,Dingle,PH,10.9995,122.6711,78.03,80,87,16.17,overcast clouds
243,Asfi,MA,32.2994,-9.2372,58.55,88,33,9.13,scattered clouds
244,Nguruka,TZ,-5.1092,31.0419,64.15,92,67,2.73,broken clouds
245,Ayorou,NE,14.7308,0.9174,69.98,20,0,10.74,clear sky
246,Rudbar,AF,30.15,62.6,61.57,31,7,10.67,clear sky
247,Menongue,AO,-14.6585,17.691,62.38,94,100,5.06,overcast clouds
248,Douentza,ML,14.9951,-2.9517,62.19,27,0,3.69,clear sky
249,Kamenka,RU,51.3223,42.7678,35.01,93,100,4.0,overcast clouds
250,Sakaiminato,JP,35.55,133.2333,44.6,70,75,3.44,broken clouds
251,Bayir,TR,37.2687,28.2167,44.6,93,0,5.75,clear sky
252,Pristen,RU,51.2355,36.6959,35.6,100,90,11.18,moderate rain
253,Itarema,BR,-2.9248,-39.9167,78.89,83,98,9.64,overcast clouds
254,Datong,CN,40.0936,113.2914,24.3,77,0,10.89,clear sky
255,Saskylakh,RU,71.9167,114.0833,-33.81,82,100,11.7,overcast clouds
256,Morehead,US,37.2711,-87.1764,42.01,70,90,12.66,moderate rain
257,Ribeira Grande,PT,38.5167,-28.7,63.16,91,97,22.06,overcast clouds
258,Cadiz,ES,36.5,-5.75,57.2,87,75,4.61,broken clouds
259,Pangnirtung,CA,66.1451,-65.7125,-8.93,74,23,2.57,few clouds
260,Malakal,SS,9.5334,31.6605,72.54,24,5,6.89,clear sky
261,Kibala,TD,9.1104,18.3463,73.4,40,0,3.71,clear sky
262,Penzance,GB,50.1186,-5.5371,43.0,93,90,6.91,overcast clouds
263,Kautokeino,NO,69.0125,23.0412,15.08,96,100,11.97,light snow
264,Caravelas,BR,-17.7125,-39.2481,75.6,86,0,5.39,clear sky
265,Tura,IN,25.5198,90.2201,50.05,49,0,3.11,clear sky
266,Dondo,MZ,-19.6094,34.7431,74.5,94,77,2.21,broken clouds
267,Vardo,NO,70.3705,31.1107,25.18,95,100,19.01,light snow
268,Karratha,AU,-20.7377,116.8463,89.56,52,100,4.88,overcast clouds
269,Eregli,TR,37.5133,34.0467,38.59,87,100,1.34,overcast clouds
270,Riyadh,SA,24.6877,46.7219,51.8,46,0,4.61,clear sky
271,Burgeo,CA,47.6167,-57.6152,28.15,91,83,13.38,broken clouds
272,Shuangcheng,CN,45.35,126.2833,-11.2,77,100,4.47,mist
273,Ushtobe,KZ,45.2514,77.9838,12.61,83,90,0.49,overcast clouds
274,Buckingham,GB,51.9997,-0.9878,34.0,84,0,1.01,clear sky
275,Nanortalik,GL,60.1432,-45.2371,29.19,90,100,11.03,overcast clouds
276,Corinto,GR,37.9407,22.9573,51.01,52,99,1.01,overcast clouds
277,Kavieng,PG,-2.5744,150.7967,83.41,71,97,14.05,overcast clouds
278,Buncrana,IE,55.1333,-7.45,34.45,86,100,11.01,overcast clouds
279,Sorland,NO,67.667,12.6934,30.76,90,41,6.8,scattered clouds
280,Derzhavinsk,KZ,51.1,66.3167,17.01,93,100,4.99,overcast clouds
281,Mujiayingzi,CN,42.1167,118.7833,16.66,92,100,6.24,overcast clouds
282,Chadiza,ZM,-14.0678,32.4392,65.3,97,31,2.26,scattered clouds
